employeeId,date,plannedCrossTrainingModules,completedCrossTrainingModules,certificationsReady
EMP-1001,2026-01-01,8,0,0
EMP-1001,2026-01-02,8,0,0
EMP-1001,2026-01-03,8,2,1
EMP-1001,2026-01-06,8,2,1
EMP-1001,2026-01-07,8,2,1
EMP-1001,2026-01-08,8,2,1
EMP-1001,2026-01-09,8,2,1
EMP-1001,2026-01-10,8,3,1
EMP-1001,2026-01-13,8,3,1
EMP-1001,2026-01-14,8,3,1
EMP-1001,2026-01-15,8,3,1
EMP-1001,2026-01-16,8,3,1
EMP-1001,2026-01-17,8,2,1
EMP-1001,2026-01-20,8,2,1
EMP-1001,2026-01-21,8,2,1
EMP-1001,2026-01-22,8,2,1
EMP-1001,2026-01-23,8,2,1
EMP-1001,2026-01-24,8,1,1
EMP-1001,2026-01-27,8,1,1
EMP-1001,2026-01-28,8,1,1
EMP-1001,2026-01-29,8,1,1
EMP-1001,2026-01-30,8,1,1
EMP-1001,2026-01-31,8,3,1
EMP-1001,2026-02-03,8,3,1
EMP-1001,2026-02-04,8,3,1
EMP-1001,2026-02-05,8,3,1
EMP-1001,2026-02-06,8,3,1
EMP-1001,2026-02-07,8,5,1
EMP-1001,2026-02-10,8,5,1
EMP-1001,2026-02-11,8,5,1
EMP-1001,2026-02-12,8,5,1
EMP-1001,2026-02-13,8,5,1
EMP-1001,2026-02-14,8,4,1
EMP-1001,2026-02-17,8,4,1
EMP-1001,2026-02-18,8,4,1
EMP-1001,2026-02-19,8,4,1
EMP-1001,2026-02-20,8,4,1
EMP-1001,2026-02-21,8,4,1
EMP-1001,2026-02-24,8,4,1
EMP-1001,2026-02-25,8,4,1
EMP-1001,2026-02-26,8,4,1
EMP-1001,2026-02-27,8,4,1
EMP-1001,2026-02-28,8,3,1
EMP-1001,2026-03-03,8,3,1
EMP-1001,2026-03-04,8,3,1
EMP-1001,2026-03-05,8,3,1
EMP-1001,2026-03-06,8,3,1
EMP-1001,2026-03-07,8,6,1
EMP-1001,2026-03-09,8,6,1
EMP-1001,2026-03-10,8,6,1
EMP-1001,2026-03-11,8,6,1
EMP-1001,2026-03-12,8,6,1
EMP-1001,2026-03-13,8,6,1
EMP-1001,2026-03-16,8,6,1
EMP-1001,2026-03-17,8,6,1
EMP-1001,2026-03-18,8,6,1
EMP-1001,2026-03-19,8,6,1
EMP-1001,2026-03-20,8,6,1
EMP-1001,2026-03-23,8,6,1
EMP-1001,2026-03-24,8,6,1
